Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
ISLE004,Ramzi,Pèze-Piton,12th Isle,"LP, Album",,2017,11238408,Uncategorized,2022-04-01 05:29:11,Very Good Plus (VG+),,
ISLE007,Lo Kindre,Chlorophytum,12th Isle,"12"", EP",,2019,13039009,Uncategorized,2020-09-06 14:06:12,Near Mint (NM or M-),Near Mint (NM or M-),
ISLE008.5,D.K. (10),Live At The Edge,12th Isle,LP,,2020,14694990,Uncategorized,2022-02-23 00:06:20,,,
ISLE009,Vague Imaginaires,L'Île Sous l'Eau,12th Isle,"12"", EP",,2020,15489480,Uncategorized,2021-07-05 01:40:48,,,
825646997633,Biffy Clyro,Puzzle,14th Floor Records,"CD, Album, RE",,0,12351357,Uncategorized,2022-03-04 15:25:22,,,
5051865614524,Biffy Clyro,Only Revolutions,"14th Floor Records, Warner Bros. Records","CD, Album",,2009,2168924,Uncategorized,2022-03-04 15:26:46,,,
2NDRP12005,Leon Day,Green Ranger,2nd Drop Records,"12""",,2008,1549691,Various,2019-05-02 19:58:16,Mint (M),Generic,
2NDRP12007,Ramadanman,Revenue,2nd Drop Records,"12""",,2009,1792348,Classics,2019-05-02 19:58:40,Mint (M),Generic,
3024-ANU1,Anunaku,Stargate EP,3024,"12"", EP",,2020,14711491,Uncategorized,2022-03-02 12:51:06,,,
GAD 0010 CD,Pixies,Bossanova,4AD,"CD, Album, RE",,0,8865533,Uncategorized,2022-03-04 14:59:29,,,
Gad 0012 cd,Cocteau Twins,Heaven Or Las Vegas,4AD,"CD, Album, RE, RM",,0,22214308,Uncategorized,2022-03-04 15:10:56,,,
GAD 8030 CD,Pixies,Surfer Rosa & Come On Pilgrim,4AD,"CD, Album, Comp, RE",,2003,6568981,Uncategorized,2022-03-04 14:51:35,,,
GAD 905 CD,Pixies,Doolittle,4AD,"CD, Album, RE",,0,5923509,Uncategorized,2022-03-04 14:50:46,,,
5GT021,ST AGNIS,ॐ मणि पद्मे हूँ,5 Gate Temple,"Cass, S/Sided, MiniAlbum, Ltd + File, AIFF, FLAC, ",,2022,23927285,Uncategorized,2022-10-10 10:34:30,,,
5GTERRAFIRMA,John T. Gast,Kings X,5 Gate Temple,"12""",,2019,14428562,Uncategorized,2021-08-03 02:36:05,Mint (M),Mint (M),
5GTJL10,Junior Loves,Yantlet / Grain,5 Gate Temple,"10""",,2020,16430406,Uncategorized,2021-07-04 13:44:33,,,
"679003CDLP, 0927 43568 2",The Streets,Original Pirate Material,"679, 679, Locked On","CD, Album",,2002,45155,Uncategorized,2022-03-04 11:56:50,,,
PMAWS 005,Mickey Pearce,Wam Barzz,81,"12""",,2015,7042825,Sell,2019-05-01 22:10:51,Mint (M),Generic,
