,title,style,genres
0,SPIRINET   ENERGY FORMULA  KHT007,['House'],['Pop']
1,Babe Roots  Kojo Neatness   Be Still   Rawness,"['Dub', 'Dub Techno', 'Dubstep']","['Electronic', 'Reggae']"
2,CASH FROM HASH   CASH FROM HASH   AXON,error,error
3,Jay Glass Dubs   Epitaph,"['Dub', 'Dancehall', 'Experimental', 'Industrial', 'Trip Hop', 'Leftfield']","['Electronic', 'Reggae']"
4,"Mina, Bryte, King Doudou   Mina ft. Bryte   Sentah ",error,error
5,Pearson Sound X Clara!   Mi Cuerpo,"['Reggaeton', 'House', 'Dubstep']","['Electronic', 'Latin']"
6,DJ Seinfeld   Time Spent Away From U,['House'],['Electronic']
7,scopeotaku 4040 d,error,error
8,Various Artists   Pho Beat Bazar Vol. 1,"['Downtempo', 'Tribal']",['Electronic']
9,Mala   Miracles   New Life ,"['Dubstep', 'Dub']",['Electronic']
10,Kinlaw   Franco Franco   Mezzi Umani Mezze Macchine,"['Trap', 'Industrial', 'Post-Punk']","['Electronic', 'Hip Hop']"
11,King Doudou   Toa,error,error
12,Motion Ward   Perpetual,"['Soul', 'Rhythm & Blues', 'Garage Rock']","['Rock', 'Funk / Soul']"
13,Anunaku   DJ Plead   032,"['Breakbeat', 'Tribal', 'Techno']",['Electronic']
14,Wedding Acid Group   Easid Bits EP,"['Acid', 'IDM', 'Techno']",['Electronic']
15,JOSI DEVIL   JDS WOURLD  002,['Dubstep'],['Electronic']
16, OH91   Skanks EP ,"['Grime', 'UK Garage']",['Electronic']
17,Kahn   Illy,['Dubstep'],['Electronic']
18,La Zowi   Élite,error,error
19,Tzusing   東方不敗,"['Techno', 'EBM']",['Electronic']
20,Adriano Cava   Transient,['Abstract'],['Electronic']
21,Beau Wanzer   Untitled,"['Electro', 'Industrial', 'Leftfield']",['Electronic']
22,MEDI64 Kahn   Dread   Late Night Blues,['Dubstep'],['Electronic']
23,SPORTS 3,['Pop Rock'],['Rock']
24,OL   Dismeteo,"['Dub', 'Ambient', 'Leftfield', 'Techno']",['Electronic']
25,Killing Sound   Pass This Version On,['Trip Hop'],['Electronic']
26,Cassius Select   IF YOU DO A LITTLE DANCE,error,error
27,YOKEL   Smell of Deer,['Abstract'],['Electronic']
28,XXIII   XXIII   VOLUME 7,"['Speech', 'Religious']",['Non-Music']
29,Walton   Abyss EP,"['Grime', 'Techno', 'Dubstep']",['Electronic']
30,No Vacancy   No Vacancy,"['Disco', 'House']","['Electronic', 'Pop']"
31,ONO   Red Summer,"['Gospel', 'Industrial', 'Noise']","['Electronic', 'Funk / Soul', 'Blues', 'Non-Music']"
32,UVB76 027,"['Drum n Bass', 'Techno', 'Halftime']",['Electronic']
33,Hotline Recordings   Ishan Sound   A Wa Yu Want,"['Dubstep', 'Grime', 'Ragga', 'Dancehall']",['Electronic']
34,Low Jack   Jingles du Lieu dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']"
35,Pugilist   Intentions,error,error
36,Indian Man   Epsilon Indi,error,error
37,Ruff Hysteria,['House'],['Electronic']
38,Batu   Batu   Numen   Cazz,['Techno'],['Electronic']
39,Beneath   Beneath   Seeus   Ovaride,"['Tribal', 'Techno']",['Electronic']
40,Secret Rave   01,"['Techno', 'Breaks', 'Hardcore']",['Electronic']
41,rkeat.   rkeat   the changes ep,error,error
42,Loefah   Horror Show,['Dubstep'],['Electronic']
43,Notte Infinita   I Lost All My Data,"['Techno', 'Dubstep']",['Electronic']
44,Reflex Blue   Gotham EP,"['House', 'Progressive House', 'Bass Music']",['Electronic']
45,Osémio Boémio   Osémio Boémio   DEAD LISBON EP,error,error
46,Borai   Borai   Anybody From London EP,"['Breakbeat', 'Jungle', 'Techno']",['Electronic']
47,Sebastiano Carghini   44,error,error
48,Roska   MOM039  Roska   Jammed EP,error,error
49,Felinto   Não Tem Volta,error,error
50,Pendant   Make Me Know You Sweet ,"['Ambient', 'Experimental']",['Electronic']
51,Commodo   Commodo   F ck Mountain   Good Grief,['Dubstep'],['Electronic']
52,Ancient Plastix   S T,"['Ambient', 'New Age', 'Experimental', 'IDM']",['Electronic']
53,King Doudou   Cyberluv ft. Albany   Tomasa del Real,error,error
54,Joe   Get Centred,['Techno'],['Electronic']
55,Lurka   Stush   Wrapped Up,"['Grime', 'Techno']",['Electronic']
56,James Shinra   Meteor EP,"['Acid', 'Electro', 'IDM']",['Electronic']
57,Hi5Ghost   Hi5Ghost   No Sleep   Peder Mannerfelt Remix,['Grime'],['Electronic']
58,Hodge   Hodge   Mind Games   Flashback,['Techno'],['Electronic']
59,Secret Rave   SECRET RAVE 01,"['Techno', 'Breaks', 'Hardcore']",['Electronic']
60,Lurka   Clean,"['Techno', 'House', 'Downtempo']",['Electronic']
61,JV   Palf   JV   Palf   Wren EP,error,error
62,Caucenus   REZAS,['Experimental'],['Electronic']
63,Group Zero   Everyone’s Already Come Apart,"['Downtempo', 'Experimental', 'House', 'Leftfield', 'Ambient']",['Electronic']
64,XXIII   XXIII   VOLUME 8,"['Prog Rock', 'Art Rock', 'Classic Rock']",['Rock']
