,title,path,style
0,SPIRINET   ENERGY FORMULA  KHT007,SPIRINET - ENERGY FORMULA -KHT007,House
1,Babe Roots  Kojo Neatness   Be Still   Rawness,Babe Roots feat Kojo Neatness - Be Still - Rawness,Dub
1,Babe Roots  Kojo Neatness   Be Still   Rawness,Babe Roots feat Kojo Neatness - Be Still - Rawness,Dub Techno
1,Babe Roots  Kojo Neatness   Be Still   Rawness,Babe Roots feat Kojo Neatness - Be Still - Rawness,Dubstep
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Dub
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Dancehall
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Experimental
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Industrial
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Trip Hop
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,Leftfield
5,Pearson Sound X Clara!   Mi Cuerpo,Pearson Sound X Clara! - Mi Cuerpo,Reggaeton
5,Pearson Sound X Clara!   Mi Cuerpo,Pearson Sound X Clara! - Mi Cuerpo,House
5,Pearson Sound X Clara!   Mi Cuerpo,Pearson Sound X Clara! - Mi Cuerpo,Dubstep
6,DJ Seinfeld   Time Spent Away From U,DJ Seinfeld - Time Spent Away From U,House
8,Various Artists   Pho Beat Bazar Vol. 1,Various Artists - Pho Beat Bazar Vol. 1,Downtempo
8,Various Artists   Pho Beat Bazar Vol. 1,Various Artists - Pho Beat Bazar Vol. 1,Tribal
9,Mala   Miracles   New Life ,Mala - Miracles - New Life (Baby Paris),Dubstep
9,Mala   Miracles   New Life ,Mala - Miracles - New Life (Baby Paris),Dub
10,Kinlaw   Franco Franco   Mezzi Umani Mezze Macchine,Kinlaw & Franco Franco - Mezzi Umani Mezze Macchine,Trap
10,Kinlaw   Franco Franco   Mezzi Umani Mezze Macchine,Kinlaw & Franco Franco - Mezzi Umani Mezze Macchine,Industrial
10,Kinlaw   Franco Franco   Mezzi Umani Mezze Macchine,Kinlaw & Franco Franco - Mezzi Umani Mezze Macchine,Post-Punk
12,Motion Ward   Perpetual,Motion Ward - Perpetual.mp3,Soul
12,Motion Ward   Perpetual,Motion Ward - Perpetual.mp3,Rhythm & Blues
12,Motion Ward   Perpetual,Motion Ward - Perpetual.mp3,Garage Rock
13,Anunaku   DJ Plead   032,Anunaku & DJ Plead - 032,Breakbeat
13,Anunaku   DJ Plead   032,Anunaku & DJ Plead - 032,Tribal
13,Anunaku   DJ Plead   032,Anunaku & DJ Plead - 032,Techno
14,Wedding Acid Group   Easid Bits EP,Wedding Acid Group - Easid Bits EP,Acid
14,Wedding Acid Group   Easid Bits EP,Wedding Acid Group - Easid Bits EP,IDM
14,Wedding Acid Group   Easid Bits EP,Wedding Acid Group - Easid Bits EP,Techno
15,JOSI DEVIL   JDS WOURLD  002,JOSI DEVIL - JD'S WOURLD- 002,Dubstep
16, OH91   Skanks EP ,[WPR008] OH91 - Skanks EP (2016),Grime
16, OH91   Skanks EP ,[WPR008] OH91 - Skanks EP (2016),UK Garage
17,Kahn   Illy,Kahn - Illy,Dubstep
19,Tzusing   東方不敗,Tzusing - 東方不敗,Techno
19,Tzusing   東方不敗,Tzusing - 東方不敗,EBM
20,Adriano Cava   Transient,Adriano Cava - Transient,Abstract
21,Beau Wanzer   Untitled,Beau Wanzer - Untitled,Electro
21,Beau Wanzer   Untitled,Beau Wanzer - Untitled,Industrial
21,Beau Wanzer   Untitled,Beau Wanzer - Untitled,Leftfield
22,MEDI64 Kahn   Dread   Late Night Blues,MEDI64 Kahn - Dread & Late Night Blues,Dubstep
23,SPORTS 3,SPORTS 3,Pop Rock
24,OL   Dismeteo,OL - Dismeteo,Dub
24,OL   Dismeteo,OL - Dismeteo,Ambient
24,OL   Dismeteo,OL - Dismeteo,Leftfield
24,OL   Dismeteo,OL - Dismeteo,Techno
25,Killing Sound   Pass This Version On,Killing Sound - Pass This Version On,Trip Hop
27,YOKEL   Smell of Deer,YOKEL - Smell of Deer,Abstract
28,XXIII   XXIII   VOLUME 7,XXIII - XXIII - VOLUME 7,Renaissance
29,Walton   Abyss EP,Walton - Abyss EP,Grime
29,Walton   Abyss EP,Walton - Abyss EP,Techno
29,Walton   Abyss EP,Walton - Abyss EP,Dubstep
30,No Vacancy   No Vacancy,No Vacancy - No Vacancy,Disco
30,No Vacancy   No Vacancy,No Vacancy - No Vacancy,House
31,ONO   Red Summer,ONO - Red Summer,Gospel
31,ONO   Red Summer,ONO - Red Summer,Industrial
31,ONO   Red Summer,ONO - Red Summer,Noise
32,UVB76 027,UVB76-027,Drum n Bass
32,UVB76 027,UVB76-027,Techno
32,UVB76 027,UVB76-027,Halftime
33,Hotline Recordings   Ishan Sound   A Wa Yu Want,Hotline Recordings - Ishan Sound - A Wa Yu Want,Dubstep
