,title,path,style,genres
0,SPIRINET   ENERGY FORMULA  KHT007,SPIRINET - ENERGY FORMULA -KHT007,['House'],['Pop']
1,Babe Roots  Kojo Neatness   Be Still   Rawness,Babe Roots feat Kojo Neatness - Be Still - Rawness,"['Dub', 'Dub Techno', 'Dubstep']","['Electronic', 'Reggae']"
3,Jay Glass Dubs   Epitaph,Jay Glass Dubs - Epitaph,"['Dub', 'Dancehall', 'Experimental', 'Industrial', 'Trip Hop', 'Leftfield']","['Electronic', 'Reggae']"
5,Pearson Sound X Clara!   Mi Cuerpo,Pearson Sound X Clara! - Mi Cuerpo,"['Reggaeton', 'House', 'Dubstep']","['Electronic', 'Latin']"
6,DJ Seinfeld   Time Spent Away From U,DJ Seinfeld - Time Spent Away From U,['House'],['Electronic']
8,Various Artists   Pho Beat Bazar Vol. 1,Various Artists - Pho Beat Bazar Vol. 1,"['Downtempo', 'Tribal']",['Electronic']
9,Mala   Miracles   New Life ,Mala - Miracles - New Life (Baby Paris),"['Dubstep', 'Dub']",['Electronic']
10,Kinlaw   Franco Franco   Mezzi Umani Mezze Macchine,Kinlaw & Franco Franco - Mezzi Umani Mezze Macchine,"['Trap', 'Industrial', 'Post-Punk']","['Electronic', 'Hip Hop']"
12,Motion Ward   Perpetual,Motion Ward - Perpetual.mp3,"['Soul', 'Rhythm & Blues', 'Garage Rock']","['Rock', 'Funk / Soul']"
13,Anunaku   DJ Plead   032,Anunaku & DJ Plead - 032,"['Breakbeat', 'Tribal', 'Techno']",['Electronic']
14,Wedding Acid Group   Easid Bits EP,Wedding Acid Group - Easid Bits EP,"['Acid', 'IDM', 'Techno']",['Electronic']
15,JOSI DEVIL   JDS WOURLD  002,JOSI DEVIL - JD'S WOURLD- 002,['Dubstep'],['Electronic']
16, OH91   Skanks EP ,[WPR008] OH91 - Skanks EP (2016),"['Grime', 'UK Garage']",['Electronic']
17,Kahn   Illy,Kahn - Illy,['Dubstep'],['Electronic']
19,Tzusing   東方不敗,Tzusing - 東方不敗,"['Techno', 'EBM']",['Electronic']
20,Adriano Cava   Transient,Adriano Cava - Transient,['Abstract'],['Electronic']
21,Beau Wanzer   Untitled,Beau Wanzer - Untitled,"['Electro', 'Industrial', 'Leftfield']",['Electronic']
22,MEDI64 Kahn   Dread   Late Night Blues,MEDI64 Kahn - Dread & Late Night Blues,['Dubstep'],['Electronic']
23,SPORTS 3,SPORTS 3,['Pop Rock'],['Rock']
24,OL   Dismeteo,OL - Dismeteo,"['Dub', 'Ambient', 'Leftfield', 'Techno']",['Electronic']
25,Killing Sound   Pass This Version On,Killing Sound - Pass This Version On,['Trip Hop'],['Electronic']
27,YOKEL   Smell of Deer,YOKEL - Smell of Deer,['Abstract'],['Electronic']
28,XXIII   XXIII   VOLUME 7,XXIII - XXIII - VOLUME 7,['Renaissance'],['Classical']
29,Walton   Abyss EP,Walton - Abyss EP,"['Grime', 'Techno', 'Dubstep']",['Electronic']
30,No Vacancy   No Vacancy,No Vacancy - No Vacancy,"['Disco', 'House']","['Electronic', 'Pop']"
31,ONO   Red Summer,ONO - Red Summer,"['Gospel', 'Industrial', 'Noise']","['Electronic', 'Funk / Soul', 'Blues', 'Non-Music']"
32,UVB76 027,UVB76-027,"['Drum n Bass', 'Techno', 'Halftime']",['Electronic']
33,Hotline Recordings   Ishan Sound   A Wa Yu Want,Hotline Recordings - Ishan Sound - A Wa Yu Want,"['Dubstep', 'Grime', 'Ragga', 'Dancehall']",['Electronic']
34,Low Jack   Jingles du Lieu dit,Low Jack - Jingles du Lieu-dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']"
37,Ruff Hysteria,Ruff Hysteria,['House'],['Electronic']
38,Batu   Batu   Numen   Cazz,Batu - Batu - Numen - Cazz,['Techno'],['Electronic']
39,Beneath   Beneath   Seeus   Ovaride,Beneath - Beneath - Seeus - Ovaride,"['Tribal', 'Techno']",['Electronic']
40,Secret Rave   01,Secret Rave - 01,"['Techno', 'Breaks', 'Hardcore']",['Electronic']
42,Loefah   Horror Show,Loefah - Horror Show.mp3,['Dubstep'],['Electronic']
43,Notte Infinita   I Lost All My Data,Notte Infinita - I Lost All My Data,"['Techno', 'Dubstep']",['Electronic']
44,Reflex Blue   Gotham EP,Reflex Blue - Gotham EP,"['House', 'Progressive House', 'Bass Music']",['Electronic']
46,Borai   Borai   Anybody From London EP,Borai - Borai - Anybody From London EP,"['Breakbeat', 'Jungle', 'Techno']",['Electronic']
50,Pendant   Make Me Know You Sweet ,Pendant - Make Me Know You Sweet (OUEST099),"['Ambient', 'Experimental']",['Electronic']
51,Commodo   Commodo   F ck Mountain   Good Grief,Commodo - Commodo - F_ck Mountain - Good Grief,['Dubstep'],['Electronic']
52,Ancient Plastix   S T,Ancient Plastix - S-T,"['Ambient', 'New Age', 'Experimental', 'IDM']",['Electronic']
54,Joe   Get Centred,Joe - Get Centred,['Techno'],['Electronic']
55,Lurka   Stush   Wrapped Up,Lurka - Stush - Wrapped Up,"['Grime', 'Techno']",['Electronic']
56,James Shinra   Meteor EP,James Shinra - Meteor EP,"['Acid', 'Electro', 'IDM']",['Electronic']
57,Hi5Ghost   Hi5Ghost   No Sleep   Peder Mannerfelt Remix,Hi5Ghost - Hi5Ghost - No Sleep - Peder Mannerfelt Remix,['Grime'],['Electronic']
58,Hodge   Hodge   Mind Games   Flashback,Hodge - Hodge - Mind Games - Flashback,['Techno'],['Electronic']
59,Secret Rave   SECRET RAVE 01,Secret Rave - SECRET RAVE 01,"['Techno', 'Breaks', 'Hardcore']",['Electronic']
60,Lurka   Clean,Lurka - Clean.mp3,"['Techno', 'House', 'Downtempo']",['Electronic']
62,Caucenus   REZAS,Caucenus - REZAS,['Experimental'],['Electronic']
63,Group Zero   Everyone’s Already Come Apart,Group Zero - Everyone’s Already Come Apart,"['Downtempo', 'Experimental', 'House', 'Leftfield', 'Ambient']",['Electronic']
64,XXIII   XXIII   VOLUME 8,XXIII - XXIII - VOLUME 8,"['Prog Rock', 'Art Rock', 'Classic Rock']",['Rock']
65,Lurka   Rhythm Hi Tek,Lurka - Rhythm Hi-Tek,"['Grime', 'Hard Techno', 'Bass Music', 'Deconstructed Club', 'Abstract', 'Bleep', 'Dubstep', 'Dancehall', 'Bassline']",['Electronic']
66,Hotline Recordings   G36   No Escape   Black Mass,Hotline Recordings - G36 - No Escape - Black Mass,"['Dubstep', 'Dub', 'Industrial']","['Electronic', 'Reggae']"
67,Kahn   Neek   Kahn   Neek   Backchat   Dubchat,Kahn & Neek - Kahn & Neek - Backchat - Dubchat,"['Grime', 'Ghetto', 'Dancehall']","['Electronic', 'Reggae']"
68,Ats   Slack,Ats - Slack,['Electro'],['Electronic']
69,Parris   2 Vultures EP,Parris - 2 Vultures EP,"['Dub', 'Techno']",['Electronic']
70,Bearer   Bone,Bearer - Bone.mp3,"['Dub', 'Experimental']",['Electronic']
71,Alien + B12 Remix   Unreleased 96 00,Alien + B12 Remix - Unreleased 96-00,"['IDM', 'Ambient', 'Experimental', 'Breaks']",['Electronic']
72,XXIII   XXIII   VOLUME 6,XXIII - XXIII - VOLUME 6,['Renaissance'],['Classical']
73,PALEMAN   PLMN001,PALEMAN - PLMN001,"['Techno', 'Bass Music']",['Electronic']
74,Trev   Of The Sorcerer,Trev - Of The Sorcerer.mp3,['Broken Beat'],['Electronic']
75,Hotline Recordings   Gantz   Tut Tut Situation   Love   Acid,Hotline Recordings - Gantz - Tut Tut Situation - Love & Acid,['Experimental'],['Electronic']
76,The Humble Bee   Light Trespassing,The Humble Bee - Light Trespassing,"['Electroacoustic', 'Abstract', 'Ambient']",['Electronic']
77,XXIII   XXIII   VOLUME 1,XXIII - XXIII - VOLUME 1,['Renaissance'],['Classical']
78,Dubkasm ft Rider Shafique ,Dubkasm ft Rider Shafique (Egoless remix),"['Roots Reggae', 'Dub']",['Reggae']
79,JoeFarr   Longanimity EP,JoeFarr - Longanimity EP,"['Techno', 'Broken Beat']",['Electronic']
80,Revelation Man   Medieval Massage,Revelation Man - Medieval Massage,['Disco'],['Electronic']
81,Tony Boy   Umile  ,Tony Boy - Umile (Deluxe) [Explicit],['Trap'],['Hip Hop']
82,Ishan Sound   RIder Shafique   Ishan Sound Vs Rider Shafique,Ishan Sound & RIder Shafique - Ishan Sound Vs Rider Shafique,"['Dub', 'Dubstep']","['Electronic', 'Reggae']"
83,SSIEGE   Meteora,SSIEGE - Meteora,"['Ambient', 'Experimental', 'IDM', 'Leftfield', 'Synth-pop']","['Electronic', 'Rock', 'Pop']"
85,Data Assault   ND006   Black Earth EP,Data Assault - ND006 - Black Earth EP,['Electro'],['Electronic']
86,Audrey   Spanka Clawz,Audrey - Spanka Clawz.mp3,"['Acid', 'Electro', 'Breaks', 'Techno']",['Electronic']
87,Mr.K   Red Handed,Mr.K - Red Handed,['Dubstep'],['Electronic']
88,slowthai   Runt,slowthai - Runt,['Grime'],['Hip Hop']
89,Dave Saved   Power and Silence  Deindustrialization,Dave Saved - Power and Silence- Deindustrialization,['Experimental'],['Electronic']
90,keysound recordings   Strings Hoe ,keysound recordings - Strings Hoe (Wen refix),"['Grime', 'Tribal House']",['Electronic']
91,Via Maris   Lekky   Hiblrr,Via Maris - Lekky - Hiblrr,"['Techno', 'Ambient']",['Electronic']
92,Ploy   Iron Lungs,Ploy - Iron Lungs,"['Techno', 'Tribal', 'Bassline']",['Electronic']
93,Marco Shuttle   Cobalt Desert Oasis,Marco Shuttle - Cobalt Desert Oasis,"['Ambient', 'Techno', 'Experimental']",['Electronic']
94,EP 64   NLV001  EP 64   #45 ,EP-64 - NLV001- EP-64 - #45 (Live From Noods Bank Holiday Fun Day),['Experimental'],['Electronic']
