,title,style,genres
2,CASH FROM HASH   CASH FROM HASH   AXON,error,error
4,"Mina, Bryte, King Doudou   Mina ft. Bryte   Sentah ",error,error
7,scopeotaku 4040 d,error,error
11,King Doudou   Toa,error,error
18,La Zowi   Élite,error,error
26,Cassius Select   IF YOU DO A LITTLE DANCE,error,error
35,Pugilist   Intentions,error,error
36,Indian Man   Epsilon Indi,error,error
41,rkeat.   rkeat   the changes ep,error,error
45,Osémio Boémio   Osémio Boémio   DEAD LISBON EP,error,error
47,Sebastiano Carghini   44,error,error
48,Roska   MOM039  Roska   Jammed EP,error,error
49,Felinto   Não Tem Volta,error,error
53,King Doudou   Cyberluv ft. Albany   Tomasa del Real,error,error
61,JV   Palf   JV   Palf   Wren EP,error,error
84,Honeälome  Kuzma Palkin  Solotape  Hajj  Buttechno  2Beast  Ko$te   Omnia Vanitas,error,error
98,Haramia Tapes   B2   Evening Theme,error,error
132,DJ BeBeDeRa   Tarraxo Funguiça Das Negras  SP,error,error
133,Hundebiss Records   CLÁSICOS VOL. 1 – Edits collection by Jim C. Nedd,error,error
135,Pugilist   Pugilist   Pineapple Tune,error,error
139,Variance   VAR1000   VA #free #download,error,error
146,RDL Shellah   Streets,error,error
149,VA   Inverted Echoes   Pho Bho Records,error,error
157,SPIRITS OF THE BLACK LODGE   SPIRINET  Wind Ripped,error,error
159,J Zbel   A1 Diablo Verde,error,error
160,JV   Palf   Dont Stop ,error,error
183,King Doudou  Fauna  Dengue Dengue Dengue  Catnapp  Zonora Point   KD COMPIL 1,error,error
187,"De Grandi, Mc 2D, King Doudou   De Grandi   Sapristi ",error,error
197,Sunson   ATABAQUE SESSIONS EP,error,error
198,xxoy.   Hip Hop Tuga Edits   Vol. 3 by xxoy,error,error
205,Répéter   In Fine Style,error,error
209,Distro   MOM046  Distro   Lust   Liquor,error,error
220,XXIII   XXIII   MEGATRON,error,error
229,Zoë Mc Pherson   Alva,error,error
241,Fly By Night Recordings   FBN005   Locked Up,error,error
247,Unknown Artists   Gomma Piuma,error,error
248,Gavnlig   Canola,error,error
251,Holiday Inn Tropicantesimo   Torbido   Equohm,error,error
262,Francesco Cavaliere   Tessera Alata,error,error
264,TEMPEST   UNFULFILLED EP,error,error
285,dom peri x chicoria,error,error
290,Digiaches   I See White,error,error
292,Tebra X Double Precision   Jokini,error,error
295,V A   LLI008 Compilation,error,error
303,Dizee Rascal   Pagans EP ,error,error
309,King Doudou   FRUTA PROHIBIDA,error,error
318,King Doudou   Worldwide Arena,error,error
326,Cash From Hash   Cash From Hash   Hot Blooded EP,error,error
330,DayKoda   Hard Times and View Points,error,error
333,V A   DAAF TRAX 2,error,error
338,"El Mini, King Doudou   El Mini   Superpussy ",error,error
347,Jarguna   Animas k    एन्हालोन,error,error
349,King Doudou   Ms Nina   Pastillas ,error,error
350,Alberto de Cardeña   SUBSIST.47D   Voices EP,error,error
351,Various Artists   Anima respinta dal futuro Vol.1,error,error
353,King Doudou   Fiebre Riddim,error,error
355,Kid Yugi   The Globe ,error,error
365,Mindcut Music   Mindcut08   Myler   Dixies James EP,error,error
367,Ebb ft. Akcept   Wild Wood,error,error
370,acadjmia   Had Moments  Finished Strong,error,error
372,Giustino Kabiro   Nella Carovana,error,error
374,Ancient Caves   Filter Dread   Listen 2 Me,error,error
380,Biome   Griddled EP,error,error
385,King Doudou   Alarma,error,error
395,King Doudou   DANAO,error,error
396,O. G. JIGG   FRIENDS   Originals Remixes,error,error
401,Pluralist   CJAW013  Pluralist,error,error
405,xxoy.   Hip Hop Tuga Edits   Vol. 2,error,error
406,Russian Tsarlag   Secret Boyfriend   Split,error,error
415,Various Artists   Inverted Echoes,error,error
421,Treega   Trasher EP,error,error
426,"Le Dom, Cabo Snoop, King Doudou   Le Dom ft. Cabo Snoop   Final Windeck ",error,error
427,Parris   Puro Rosaceae EP,error,error
430,King Doudou   King Doudou Edits Vol. 3,error,error
431,Equohm   Morning Mixtape vol.2  w  Equohm,error,error
433,Addison Groove   FREE DL   FOOTCRAB VIP REMASTER,error,error
434,Luca Lozano x Dawl   Cybernetik Synergy EP,error,error
436,Kaval   TRIBY BALAD,error,error
438,Marcangelo Malapianta   Cover DAmore,error,error
446,xxoy   xxoy   Wonderland,error,error
456,Dib Discs   DJ D3X 357   BRAIN NOIZE EP,error,error
457,Anatolian Weapons   Anatolian Weapons   Immersion,error,error
460,Ninja Exotic Machine Ft. Yeho   36 Questions,error,error
476,Brooke Candy   Dimen5ión,error,error
478,dentis   Gulag,error,error
485,Sondáil   Polydial,error,error
488,dstrtdvsn   73 Explore your mind ,error,error
491,King Doudou   King Doudou   Futsal Mega Mix,error,error
493,KRIKOR   CÉFRAN RIDDIMS  001,error,error
497,King Doudou   Future   Mask Off ,error,error
504,Kinlaw   Franco Franco   WAVE LED,error,error
508,NOT399093   MALTA ORLATA,error,error
509,Kreggo   New Age EP  digital exclusive,error,error
513,Ploy   Ploy   The Edits DIGITAL,error,error
514,"HUGODADA   Santa Clara   Live at Nerolidio, Como, 9 4 22",error,error
515,Various   Substance   Shamas Natire,error,error
518,John T. Gast   DRINK BEFORE THE WAR  ,error,error
523,Danish Dream   After Sauna EP,error,error
530,Various Artists   Habibi Funk 014  Solidarity With Beirut,error,error
532,Isle   Losing Phase,error,error
552,JLZ   BADSISTA   BABYLON ,error,error
558,SONS OF TRADERS   Crollo Nervoso LP  BLF1C007,error,error
559,"Khaled, Trapani, King Doudou   Khaled ft. Trapani   Mea Culpa ",error,error
572,Bass   Anaconda Legs,error,error
575,Kreggo   Immaginario EP  digital exclusive,error,error
578,King Doudou   King Doudou Edits Vol.2,error,error
579,Osémio Boémio   Osémio Boémio   NO TIME 4 BAD DAYS EP,error,error
585,SlugDown   Sun Box,error,error
586,Lambratech   STAY FAST VOL. 1,error,error
592,Ele Dane   nature shaft,error,error
596,Lamont   Aldgate Pump,error,error
604,Argo Nooo ARTKL024 WEB 2016 MKD,error,error
612,ᕦᕤ   High School Blues,error,error
622,Catene   CXT001   MASTERS DEF,error,error
637,Notte Brigante   NB03t   Simplists   Over SImplifies Reality Lp,error,error
639,ArtSaves   Home Is Where the Hatred Is,error,error
641,Abu AMA   INTERNATiONAL ROKKAZ,error,error
648,Squito Babe   Palombaro ,error,error
652,Only Now   Only Now Presents  Indian Unclassical Vol. 1,error,error
